FISH_KEY,DATE_CATCH,Sesn,Year,LOCATION_ID,ACCESS_CODE,WEIGHT,TOTAL_LENGTH,FORK_LENGTH,SEX,Age,MAT_CODE
468LA_1093_F081_F,18-Oct-06,Fa,2006,468,F081,543,428,385,1,,2
468LA_1094_F081_F,18-Oct-06,Fa,2006,468,F081,717,448,404,2,,2
468LA_1095_F081_F,18-Oct-06,Fa,2006,468,F081,962,513,457,1,,2
468LA_1096_F081_F,18-Oct-06,Fa,2006,468,F081,704,445,395,2,,6
468LA_1097_F081_F,18-Oct-06,Fa,2006,468,F081,722,473,425,1,,2
468LA_1098_F081_F,18-Oct-06,Fa,2006,468,F081,567,437,390,1,,1
468LA_1099_F081_F,18-Oct-06,Fa,2006,468,F081,363,380,337,2,,1
468LA_11_F081_F,16-May-73,aSP,1973,468,F081,712,,401,1,7,1
468LA_110_F081_F,03-Oct-81,Fa,1981,468,F081,570,424,381,1,7,2
468LA_1100_F081_F,18-Oct-06,Fa,2006,468,F081,952,510,465,2,,2
468LA_1101_F081_F,18-Oct-06,Fa,2006,468,F081,1108,509,453,1,,2
468LA_1102_F081_F,18-Oct-06,Fa,2006,468,F081,310,344,305,1,,1
468LA_1103_F081_F,18-Oct-06,Fa,2006,468,F081,554,427,381,1,,1
468LA_1104_F081_F,18-Oct-06,Fa,2006,468,F081,537,404,361,1,,1
468LA_1105_F081_F,18-Oct-06,Fa,2006,468,F081,791,475,435,2,,6
468LA_1106_F081_F,18-Oct-06,Fa,2006,468,F081,234,309,277,2,,1
468LA_1107_F081_F,18-Oct-06,Fa,2006,468,F081,289,341,303,1,,1
468LA_1108_F081_F,18-Oct-06,Fa,2006,468,F081,720,467,416,1,,2
468LA_1109_F081_F,18-Oct-06,Fa,2006,468,F081,314,350,314,1,,1
468LA_111_F081_F,03-Oct-81,Fa,1981,468,F081,596,427,384,1,8,2
468LA_1110_F081_F,18-Oct-06,Fa,2006,468,F081,466,392,351,2,,2
468LA_1111_F081_F,18-Oct-06,Fa,2006,468,F081,348,355,315,1,,1
468LA_1112_F081_F,18-Oct-06,Fa,2006,468,F081,811,482,427,2,,2
468LA_1113_F081_F,18-Oct-06,Fa,2006,468,F081,671,452,402,2,,2
468LA_1114_F081_F,18-Oct-06,Fa,2006,468,F081,223,322,288,1,,1
468LA_1115_F081_F,18-Oct-06,Fa,2006,468,F081,346,373,333,2,,1
468LA_1116_F081_F,18-Oct-06,Fa,2006,468,F081,233,322,285,1,,1
468LA_1117_F081_F,18-Oct-06,Fa,2006,468,F081,285,338,304,1,,1
468LA_1118_F081_F,18-Oct-06,Fa,2006,468,F081,670,439,392,2,,2
468LA_1119_F081_F,18-Oct-06,Fa,2006,468,F081,171,283,252,2,,1
468LA_112_F081_F,03-Oct-81,Fa,1981,468,F081,582,415,370,1,10,2
468LA_1120_F081_F,18-Oct-06,Fa,2006,468,F081,451,396,355,2,,6
468LA_1121_F081_F,18-Oct-06,Fa,2006,468,F081,414,375,340,2,,1
468LA_1122_F081_F,18-Oct-06,Fa,2006,468,F081,61,206,186,2,,1
468LA_1123_F081_F,18-Oct-06,Fa,2006,468,F081,265,331,297,1,,1
468LA_1124_F081_F,18-Oct-06,Fa,2006,468,F081,344,361,325,1,,2
468LA_1125_F081_F,18-Oct-06,Fa,2006,468,F081,351,358,322,1,,1
468LA_1126_F081_F,18-Oct-06,Fa,2006,468,F081,825,443,400,1,,1
468LA_1127_F081_F,18-Oct-06,Fa,2006,468,F081,709,453,406,1,,2
468LA_1128_F081_F,18-Oct-06,Fa,2006,468,F081,780,461,410,1,,2
468LA_1129_F081_F,18-Oct-06,Fa,2006,468,F081,892,513,460,2,,2
468LA_113_F081_F,03-Oct-81,Fa,1981,468,F081,726,457,412,1,10,2
468LA_1130_F081_F,18-Oct-06,Fa,2006,468,F081,245,327,292,2,,1
468LA_1131_F081_F,18-Oct-06,Fa,2006,468,F081,527,397,360,2,,2
468LA_1132_F081_F,18-Oct-06,Fa,2006,468,F081,695,471,421,2,,2
468LA_1133_F081_F,18-Oct-06,Fa,2006,468,F081,330,361,326,2,,1
468LA_1134_F081_F,01-Oct-04,Fa,2004,468,F081,45,182,165,,,
468LA_114_F081_F,03-Oct-81,Fa,1981,468,F081,1165,512,463,2,10,2
468LA_115_F081_F,03-Oct-81,Fa,1981,468,F081,1120,530,471,1,7,2
468LA_116_F081_F,03-Oct-81,Fa,1981,468,F081,586,418,378,1,8,2
468LA_117_F081_F,03-Oct-81,Fa,1981,468,F081,700,445,400,1,8,2
468LA_118_F081_F,03-Oct-81,Fa,1981,468,F081,952,484,438,1,10,2
468LA_119_F081_F,03-Oct-81,Fa,1981,468,F081,631,445,400,1,11,2
468LA_12_F081_F,16-May-73,aSP,1973,468,F081,1900,,555,2,12,2
468LA_120_F081_F,03-Oct-81,Fa,1981,468,F081,622,425,397,1,8,2
468LA_121_F081_F,03-Oct-81,Fa,1981,468,F081,596,435,391,1,8,2
468LA_122_F081_F,03-Oct-81,Fa,1981,468,F081,780,464,418,1,9,2
468LA_123_F081_F,03-Oct-81,Fa,1981,468,F081,1050,486,439,1,12,2
468LA_124_F081_F,03-Oct-81,Fa,1981,468,F081,875,463,418,1,8,2
468LA_125_F081_F,03-Oct-81,Fa,1981,468,F081,499,412,371,1,7,2
468LA_126_F081_F,03-Oct-81,Fa,1981,468,F081,552,430,383,1,7,2
468LA_127_F081_F,03-Oct-81,Fa,1981,468,F081,694,456,406,1,10,2
468LA_128_F081_F,03-Oct-81,Fa,1981,468,F081,828,460,418,1,11,2
468LA_129_F081_F,03-Oct-81,Fa,1981,468,F081,552,424,381,2,10,5
468LA_13_F081_F,16-May-73,aSP,1973,468,F081,722,,393,2,10,2
468LA_130_F081_F,03-Oct-81,Fa,1981,468,F081,586,428,383,1,6,2
468LA_131_F081_F,03-Oct-81,Fa,1981,468,F081,968,483,435,1,18,2
468LA_132_F081_F,08-Oct-81,Fa,1981,468,F081,479,406,362,1,8,2
468LA_133_F081_F,08-Oct-81,Fa,1981,468,F081,401,373,336,1,5,2
468LA_134_F081_F,08-Oct-81,Fa,1981,468,F081,635,448,401,1,,2
468LA_135_F081_F,08-Oct-81,Fa,1981,468,F081,543,420,378,1,7,2
468LA_136_F081_F,08-Oct-81,Fa,1981,468,F081,1074,501,455,1,11,2
468LA_137_F081_F,08-Oct-81,Fa,1981,468,F081,638,442,400,1,8,2
468LA_138_F081_F,08-Oct-81,Fa,1981,468,F081,734,462,417,1,9,2
468LA_139_F081_F,08-Oct-81,Fa,1981,468,F081,979,489,443,1,10,2
468LA_14_F081_F,16-May-73,aSP,1973,468,F081,1500,,513,1,11,2
468LA_140_F081_F,08-Oct-81,Fa,1981,468,F081,651,435,391,1,10,2
468LA_141_F081_F,08-Oct-81,Fa,1981,468,F081,551,422,380,1,9,2
468LA_142_F081_F,08-Oct-81,Fa,1981,468,F081,878,463,417,1,,2
468LA_1421_F081_F,28-Sep-81,Fa,1981,468,F081,865,,415,,,
468LA_1422_F081_F,28-Sep-81,Fa,1981,468,F081,570,,371,,,
468LA_1423_F081_F,28-Sep-81,Fa,1981,468,F081,815,,403,,,
468LA_1424_F081_F,28-Sep-81,Fa,1981,468,F081,785,,412,,,
468LA_1425_F081_F,28-Sep-81,Fa,1981,468,F081,740,,402,,,
468LA_1426_F081_F,28-Sep-81,Fa,1981,468,F081,890,,421,,,
468LA_1427_F081_F,26-Sep-81,Fa,1981,468,F081,1075,516,468,,,
468LA_1428_F081_F,26-Sep-81,Fa,1981,468,F081,1125,536,485,,,
468LA_1429_F081_F,26-Sep-81,Fa,1981,468,F081,795,455,406,,,
468LA_143_F081_F,08-Oct-81,Fa,1981,468,F081,535,411,368,1,9,2
468LA_1430_F081_F,27-Apr-87,aSP,1987,468,F081,623,,378,1,,1
468LA_1431_F081_F,27-Apr-87,aSP,1987,468,F081,393,,326,2,,1
468LA_1432_F081_F,27-Apr-87,aSP,1987,468,F081,589,,373,1,,1
468LA_1433_F081_F,27-Apr-87,aSP,1987,468,F081,459,,340,2,,1
468LA_1434_F081_F,27-Apr-87,aSP,1987,468,F081,583,,390,2,,1
468LA_1435_F081_F,27-Apr-87,aSP,1987,468,F081,588,,374,1,,1
468LA_1436_F081_F,27-Apr-87,aSP,1987,468,F081,378,,331,2,,1
468LA_1437_F081_F,27-Apr-87,aSP,1987,468,F081,753,,410,1,,1
